% Model:              3D_7lay_aniso_h.mph
% Version:            COMSOL 5.2.1.152
% Date:               Nov 22 2018, 15:33
% Dimension:          1
% Nodes:              100
% Expressions:        11
% Description:        Temperature
% cln1x                   T (K) @ t=0              T (K) @ t=3              T (K) @ t=6              T (K) @ t=9              T (K) @ t=12             T (K) @ t=15             T (K) @ t=18             T (K) @ t=21             T (K) @ t=24             T (K) @ t=27             T (K) @ t=30
0.4                       293.1503381780273        334.0586027845897        347.98262047166486       357.11478950308236       363.67305999754115       368.6091675114379        372.4548547473379        375.53311655424875       378.0494811062677        380.13999127097554       381.8981988116262
1.2                       293.15020992372536       332.72768054042336       346.7516361267119        355.951949431688         362.55979571241494       367.5335253151099        371.40870515308086       374.51068479358355       377.0465051638309        379.1532193751175        380.92507986429996
2                         293.1501142398865        331.4355091910727        345.54868255463          354.8123439899951        361.4669166450844        366.4764220600411        370.37983447290907       373.5046333963705        376.0592428543065        378.18164884034826       379.96675699077844
2.8000000000000003        293.1500534821444        330.1833280806722        344.37481949319357       353.69696174253767       360.3953687404804        365.43877538135496       369.3691405687819        372.51584593140865       375.08856713899775       377.22614459100726       379.0240889253523
3.5999999999999996        293.1500110903573        328.9673688123798        343.226545093047         352.6024151714222        359.3418430941772        364.4173347532748        368.3734174523962        371.5411509183002        374.13133357592346       376.28358356062597       378.09396962595883
4.4                       293.1499870645253        327.78763138619536       342.10385935419004       351.5287042766487        358.3063397061746        363.4121001758005        367.39266512375184       370.5805483570453        373.1875421650836        375.3539657492044        377.1763990925982
5.2                       293.14997341594596       326.6447525272726        341.0072847325416        350.4762855636816        357.28927289811736       362.4234573975833        366.42724913320114       369.6343890192464        372.2575325589859        374.43762225426104       376.27170172178336
6                         293.14995509090164       325.5402057534434        339.9381382216403        349.4463571911324        356.2917611737465        361.4524697615232        365.4781931912665        368.7036672146859        371.34227667683234       373.53550757912245       375.3808182393954
6.800000000000001         293.14994973344193       324.4727354190097        338.89544891900357       348.43809691088387       355.31307536254          360.4984704783659        364.54487425436133       367.78779168624555       370.44120702790906       372.64707241502276       374.5032135035753
7.6                       293.149957343567         323.4423415239719        337.87921682463207       347.45150472293625       354.3532154644981        359.5614595481116        363.62729232248626       366.8867624339256        369.5543236122164        371.77231676196243       373.6388875143231
8.4                       293.14997792127656       322.44902406832955       336.8894419385252        346.4865806272893        353.41218147962053       358.64143697075997       362.7254473956408        366.00057945772585       368.68162642975415       370.91124061994094       372.78784027163863
9.200000000000001         293.1500114665709        321.49278305208304       335.9261242606833        345.5433246239433        352.48997340790754       357.7384027463114        361.8393394738252        365.12924275764647       367.82311548052246       370.06384398895864       371.9500717755222
